Event,Region,Filename,human_s,abc,Completed,event,record,coarse_s,refined_s
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_BHP_20100404_ElMayorCucapah.v,165.348837209302,A,1,2010_ElMayorCucapah_LABasin,CI_BHP_20100404_ElMayorCucapah.v,166.10369140625,165.95680541992186
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_BHP_20140115_Fontana.v,134.39796495195,B,1,2014_Fontana_LABasin,CI_BHP_20140115_Fontana.v,147.853056640625,141.37096557617187
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_BRE_20100404_ElMayorCucapah.v,153.246013667426,B,1,2010_ElMayorCucapah_LABasin,CI_BRE_20100404_ElMayorCucapah.v,166.5307421875,160.22309204101563
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_CHN_20100404_ElMayorCucapah.v,144.657998869418,A,1,2010_ElMayorCucapah_LABasin,CI_CHN_20100404_ElMayorCucapah.v,148.7190625,147.19710693359374
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_CHN_20140115_Fontana.v,99.1132723112128,B,1,2014_Fontana_LABasin,CI_CHN_20140115_Fontana.v,94.01890625,99.254501953125
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_DJJ_20100404_ElMayorCucapah.v,166.365178066704,A,1,2010_ElMayorCucapah_LABasin,CI_DJJ_20100404_ElMayorCucapah.v,170.3396484375,171.63949951171875
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_DJJ_20140115_Fontana.v,110.003870990446,B,1,2014_Fontana_LABasin,CI_DJJ_20140115_Fontana.v,128.82666015625,118.62337524414062
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_DLA_20100404_ElMayorCucapah.v,158.281161070006,A,1,2010_ElMayorCucapah_LABasin,CI_DLA_20100404_ElMayorCucapah.v,164.98658203125,161.67687866210937
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_DLA_20140115_Fontana.v,123.99885583524,A,1,2014_Fontana_LABasin,CI_DLA_20140115_Fontana.v,126.553662109375,124.58157836914064
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_FMP_20100404_ElMayorCucapah.v,149.743881616392,B,1,2010_ElMayorCucapah_LABasin,CI_FMP_20100404_ElMayorCucapah.v,150.46205078125,153.2375927734375
