Index,Trace_Name,station_code,event_time,Subset,True_Time_s,Coarse_Pred_s,Final_Pred_s,Coarse_Error_s,Final_Error_s,Coarse_Abs_Error_s,Final_Abs_Error_s,station_lon,station_lat,event_lon,event_lat,Mw,depth_km,epicentral_distance_km,basin
0,acNGN0020703250942,NGN002,2007-03-25 09:42:00,training,35.32300049,35.7831543,36.46258301,0.460153809,1.13958252,0.460153809,1.13958252,138.21,36.81,136.69,37.22,6.9,11,142.45,Niigata Basin
1,acNIG0100703250942,NIG010,2007-03-25 09:42:00,training,29.73899902,32.22555176,30.23922119,2.486552734,0.500222168,2.486552734,0.500222168,139.01,37.91,136.69,37.22,6.9,11,218.4,Niigata Basin
2,acNIG0140703250942,NIG014,2007-03-25 09:42:00,training,68.07799805,62.80367676,66.22648926,-5.274321289,-1.851508789,5.274321289,1.851508789,138.96,37.64,136.69,37.22,6.9,11,205.8,Niigata Basin
3,acNIG0190703250942,NIG019,2007-03-25 09:42:00,holdout_evaluation,49.50899902,52.89748535,53.04941162,3.388486328,3.540412598,3.388486328,3.540412598,138.81,37.3,136.69,37.22,6.9,11,187.83,Niigata Basin
4,acNIG0210703250942,NIG021,2007-03-25 09:42:00,holdout_evaluation,44.95100098,57.58275879,55.47000244,12.63175781,10.51900146,12.63175781,10.51900146,138.78,37.2,136.69,37.22,6.9,11,185.1,Niigata Basin
5,acNIG0230703250942,NIG023,2007-03-25 09:42:00,training,43.57,42.60046875,43.44501953,-0.96953125,-0.124980469,0.96953125,0.124980469,138.65,37.01,136.69,37.22,6.9,11,175.35,Niigata Basin
6,acNIG0170703251811,NIG017,2007-03-25 18:11:00,training,17.555,18.52008789,17.92561035,0.965087891,0.370610352,0.965087891,0.370610352,138.84,37.44,136.84,37.3,5.3,13,177.42,Niigata Basin
7,acNIG0190703251811,NIG019,2007-03-25 18:11:00,training,19.51099976,26.02804443,29.95201904,6.517044678,10.44101929,6.517044678,10.44101929,138.81,37.3,136.84,37.3,5.3,13,174.25,Niigata Basin
8,acNIG0210703251811,NIG021,2007-03-25 18:11:00,training,20.57699951,18.75992676,22.5376416,-1.817072754,1.96064209,1.817072754,1.96064209,138.78,37.2,136.84,37.3,5.3,13,172.07,Niigata Basin
9,acNIG0280703251811,NIG028,2007-03-25 18:11:00,training,18.86099976,23.07187988,18.8962146,4.210880127,0.035214844,4.210880127,0.035214844,138.89,37.43,136.84,37.3,5.3,13,181.74,Niigata Basin
10,acNIG0141202082101,NIG014,2012-02-08 21:01:00,training,35.69100098,34.83547852,35.63927246,-0.855522461,-0.051728516,0.855522461,0.051728516,138.96,37.64,138.17,37.87,5.7,14,74.01,Niigata Basin
11,acNIG0171202082101,NIG017,2012-02-08 21:01:00,training,26.245,26.87447021,32.97919922,0.629470215,6.734199219,0.629470215,6.734199219,138.84,37.44,138.17,37.87,5.7,14,75.93,Niigata Basin
12,acNIG0211202082101,NIG021,2012-02-08 21:01:00,training,20.61800049,23.0875293,24.78163818,2.469528809,4.163637695,2.469528809,4.163637695,138.78,37.2,138.17,37.87,5.7,14,91.89,Niigata Basin
13,acNIG0231202082101,NIG023,2012-02-08 21:01:00,training,22.03199951,22.22576172,21.20002197,0.193762207,-0.831977539,0.193762207,0.831977539,138.65,37.01,138.17,37.87,5.7,14,104.6,Niigata Basin
14,acNIG0261202082101,NIG026,2012-02-08 21:01:00,holdout_evaluation,25.60699951,21.58003906,26.90149902,-4.026960449,1.294499512,4.026960449,1.294499512,138.25,37.02,138.17,37.87,5.7,14,94.78,Niigata Basin
15,acNIG0281202082101,NIG028,2012-02-08 21:01:00,holdout_evaluation,35.98800049,36.83661865,37.55286133,0.848618164,1.56486084,0.848618164,1.56486084,138.89,37.43,138.17,37.87,5.7,14,80.07,Niigata Basin
16,acNIG0132003130218,NIG013,2020-03-13 02:18:00,training,25.67,24.11259277,24.2363855,-1.557407227,-1.433614502,1.557407227,1.433614502,138.88,37.76,136.82,37.28,5.5,12,189.35,Niigata Basin
17,acNIG0172003130218,NIG017,2020-03-13 02:18:00,training,28.91,28.45974121,30.68208252,-0.450258789,1.77208252,0.450258789,1.77208252,138.84,37.44,136.82,37.28,5.5,12,179.41,Niigata Basin
18,acNGN0012109161842,NGN001,2021-09-16 18:42:00,holdout_evaluation,19.97400024,22.59304688,23.63647705,2.619046631,3.662476807,2.619046631,3.662476807,138.37,36.85,137.3,37.51,5.1,13,119.88,Niigata Basin
19,acNGN0062109161842,NGN006,2021-09-16 18:42:00,training,13.73900024,14.89953613,16.07915283,1.160535889,2.340152588,1.160535889,2.340152588,137.85,36.51,137.3,37.51,5.1,13,121.45,Niigata Basin
20,acNIG0172109161842,NIG017,2021-09-16 18:42:00,holdout_evaluation,23.375,28.62822754,29.88605957,5.253227539,6.51105957,5.253227539,6.51105957,138.84,37.44,137.3,37.51,5.1,13,136.12,Niigata Basin
21,acNIG0282109161842,NIG028,2021-09-16 18:42:00,training,18.41400024,21.70024902,19.41580688,3.286248779,1.001806641,3.286248779,1.001806641,138.89,37.43,137.3,37.51,5.1,13,140.6,Niigata Basin
22,acNIG0102206191508,NIG010,2022-06-19 15:08:00,training,31.59899902,31.75276855,32.95070801,0.153769531,1.351708984,0.153769531,1.351708984,139.01,37.91,137.28,37.52,5.4,13,158.23,Niigata Basin
23,acNIG0112206191508,NIG011,2022-06-19 15:08:00,holdout_evaluation,34.88399902,32.43239746,31.97033081,-2.451601562,-2.913668213,2.451601562,2.913668213,139.15,37.8,137.28,37.52,5.4,13,167.53,Niigata Basin
24,acNIG0172206191508,NIG017,2022-06-19 15:08:00,training,21.28800049,20.68192139,24.72472656,-0.606079102,3.436726074,0.606079102,3.436726074,138.84,37.44,137.28,37.52,5.4,13,137.94,Niigata Basin
25,acNIG0192206191508,NIG019,2022-06-19 15:08:00,training,37.35199951,33.78788574,36.61567627,-3.56411377,-0.736323242,3.56411377,0.736323242,138.81,37.3,137.28,37.52,5.4,13,137.33,Niigata Basin
26,acNIG0212206191508,NIG021,2022-06-19 15:08:00,holdout_evaluation,37.11899902,38.82180176,44.84508057,1.702802734,7.726081543,1.702802734,7.726081543,138.78,37.2,137.28,37.52,5.4,13,137.26,Niigata Basin
27,acNIG0232206191508,NIG023,2022-06-19 15:08:00,holdout_evaluation,22.08800049,18.94793091,23.00809082,-3.14006958,0.920090332,3.14006958,0.920090332,138.65,37.01,137.28,37.52,5.4,13,133.84,Niigata Basin
28,acNIG0262206191508,NIG026,2022-06-19 15:08:00,training,25.73800049,29.05120117,25.6318396,3.313200684,-0.106160889,3.313200684,0.106160889,138.25,37.02,137.28,37.52,5.4,13,102.27,Niigata Basin
29,acNIG0282206191508,NIG028,2022-06-19 15:08:00,holdout_evaluation,24.31100098,36.0109375,27.24656738,11.69993652,2.935566406,11.69993652,2.935566406,138.89,37.43,137.28,37.52,5.4,13,142.43,Niigata Basin
